"G","S","S","S","S","S","S","S","S","S","S","S",
"S","S","S","S","S","S","S","S","S","S","S","S",
"S","S","S","S","S","S","S","S","S","S","S","S",
"S","S","S","S","S","S","S","S","S","S","S","S",
"S","S","S","S","S","S","S","S","S","S","S","S",
"S","S","H","H","H","H","H","H","H","H","S","S",
"S","S","H","H","H","H","H","H","H","H","S","S"
"S","S","H","H","H","H","H","H","H","H","S","S"
"S","S","H","H","H","H","H","H","H","H","S","S"
"S","S","H","H","H","H","H","H","H","H","S","S",
"S","S","S","S","S","S","S","S","S","S","S","S",
"S","S","S","S","S","G","G","S","S","S","S","S",
